Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
10/20/2021,Parole,G2,M,White,69,Houston,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/15/2020,10/26/2017,2 Years & Less
11/08/2021,SAFPF - Prob,FT,M,Black,70,Dallas,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",,10/13/2020,SAFPF
05/11/2022,Discharge,J2,M,Black,73,Victoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/26/2021,11/19/2019,11 to 12 Months
02/01/2022,Discharge,J2,M,Black,72,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",07/01/2021,02/23/2021,11 to 12 Months
04/25/2022,Parole,G2,M,Black,66,Angelina,23190000,Property,LARCENY-THEFT OF PERSON,11/05/1992,09/11/1992,31 to 40 Years
06/02/2022,Parole,DP,M,White,69,Hopkins,23990010,Property,THEFT PROP >=$20K<$100K,11/29/2016,01/12/2012,11 to 15 Years
02/08/2022,Parole,IT,M,Black,67,Travis,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/09/2017,06/01/2016,8 Years
01/28/2022,Parole,OT,M,White,67,Johnson,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,01/30/2017,10/03/2015,21 to 25 Years
05/27/2022,Parole,G2,M,Black,66,Ellis,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",08/12/1999,02/11/1998,16 to 20 Years
11/09/2021,Parole,G2,M,Black,67,Montgomery,23990198,Property,THEFT PROP >=$30K<$150K,06/07/2019,07/20/2018,7 Years
09/27/2021,DMS,G2,M,Black,66,Jefferson,23990194,Property,"THEFT PROP >=$2,500<$30K",01/20/2021,11/26/2019,2 Years & Less
12/03/2021,DMS,G2,M,Black,65,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/17/2021,08/02/2020,2 Years & Less
06/22/2022,Discharge,J2,M,Black,68,Fannin,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/23/2022,09/04/2020,11 to 12 Months
11/29/2021,Parole,G2,M,Black,65,Ellis,23990010,Property,THEFT PROP >=$20K<$100K,12/07/2017,12/10/2014,11 to 15 Years
05/20/2022,Discharge,J2,M,Black,63,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/11/2022,10/05/2021,6 Months & Less
10/29/2021,Discharge,J1,M,White,66,Guadalupe,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/01/2020,09/20/2018,11 to 12 Months
02/11/2022,Discharge,J2,M,Black,65,Taylor,23990194,Property,"THEFT PROP >=$2,500<$30K",05/22/2019,07/26/2018,23 to 24 Months & More
12/17/2021,Discharge,J2,M,Hispanic,63,Nueces,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/27/2021,08/22/2020,15 to 16 Months
01/07/2022,Parole,MD,M,Hispanic,63,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/10/2019,07/07/2019,3 Years
10/01/2021,Discharge,J2,M,Black,63,Jefferson,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",05/05/2021,11/20/2020,8 to 9 Months
